Topic,unit,1900,1940,1980,1990,2000,2010,2019,2020,2021,2022
Demographic key figures|Population on January 1,x 1 000,5104.0,8834.0,14091.0,14893.0,15864.0,16575.0,17282.0,17408.0,17475.0,17591.0
Demographic key figures|Live born children,x 1 000,163.0,185.0,181.0,198.0,207.0,184.0,170.0,169.0,179.0,
Demographic key figures|Deaths,x 1 000,92.0,88.0,114.0,129.0,141.0,136.0,152.0,169.0,171.0,
Health status|Persons in (very) good health,%,,,,81.7,80.4,80.3,78.7,81.5,80.5,
Health status|Persons with complete dentures,%,,,,23.7,15.7,,,,,
Health status|Occurrence of infectious diseases|Notifiable infectious diseases|Mumps,number of notifications,,,1117.0,21.0,,563.0,131.0,64.0,1.0,
Health status|Occurrence of infectious diseases|Notifiable infectious diseases|Typhoid,number of notifications,2900.0,108.0,60.0,63.0,33.0,24.0,28.0,5.0,13.0,
Health status|Occurrence of infectious diseases|Notifiable infectious diseases|Diphtheria,number of notifications,,1733.0,0.0,0.0,0.0,0.0,1.0,3.0,0.0,
Health status|Occurrence of infectious diseases|Notifiable infectious diseases|Hepatitis A,number of notifications,,,987.0,771.0,658.0,261.0,162.0,49.0,77.0,
Health status|Occurrence of infectious diseases|Notifiable infectious diseases|Whooping Cough,number of notifications,,,30.0,480.0,4263.0,3696.0,6361.0,943.0,74.0,
Health status|Occurrence of infectious diseases|Notifiable infectious diseases|Legionnaires' disease,number of notifications,,,,49.0,171.0,473.0,587.0,475.0,671.0,
Health status|Occurrence of infectious diseases|Notifiable infectious diseases|Malaria,number of notifications,,,101.0,255.0,543.0,244.0,183.0,69.0,152.0,
Health status|Occurrence of infectious diseases|Notifiable infectious diseases|Measles,number of notifications,,,178.0,16.0,255.0,20.0,84.0,2.0,0.0,
Health status|Occurrence of infectious diseases|Notifiable infectious diseases|Meningococcal disease,number of notifications,,277.0,176.0,514.0,516.0,143.0,157.0,65.0,33.0,
Health status|Occurrence of infectious diseases|Notifiable infectious diseases|Paratyphoid B,number of notifications,,101.0,15.0,14.0,18.0,16.0,29.0,4.0,12.0,
Health status|Occurrence of infectious diseases|Notifiable infectious diseases|Polio,number of notifications,,111.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
Health status|Occurrence of infectious diseases|Notifiable infectious diseases|Q Fever,number of notifications,,,5.0,23.0,12.0,411.0,16.0,7.0,6.0,
Health status|Occurrence of infectious diseases|Notifiable infectious diseases|Rubella,number of notifications,,,706.0,38.0,11.0,0.0,0.0,0.0,0.0,
Health status|Occurrence of infectious diseases|Notifiable infectious diseases|Shigella,number of notifications,,1185.0,518.0,418.0,286.0,533.0,549.0,194.0,213.0,
Health status|Occurrence of infectious diseases|Notifiable infectious diseases|Tuberculosis,number of notifications,,7620.0,1664.0,1369.0,1443.0,1068.0,754.0,622.0,680.0,
Health status|Occurrence of infectious diseases|AIDS/HIV|AIDS,number of notifications,,,,419.0,272.0,325.0,158.0,145.0,85.0,
Health status|Occurrence of infectious diseases|AIDS/HIV|HIV-infected,number of notifications,,,,315.0,881.0,1306.0,659.0,441.0,325.0,
Health status|Use of medication/food supplements|% prescribed,%,,,,29.8,33.8,35.8,40.8,39.4,39.0,
Health status|Use of medication/food supplements|% non-prescribed,%,,,,21.1,34.5,34.2,40.4,39.8,42.0,
Health status|Sickness absence,%,,,9.4,6.8,5.5,4.2,4.4,4.7,4.9,
"Lifestyle|Smoking, 16 years or older|Smokers",%,,,,37.0,32.7,26.8,21.4,19.8,20.3,
"Lifestyle|Smoking, 16 years or older|Heavy smokers",%,,,,13.2,9.8,5.2,2.9,3.1,2.7,
"Lifestyle|Alcohol consumption, 16 years or older|Drinkers",%,,,,79.8,85.9,80.9,78.5,76.9,77.3,
"Lifestyle|Alcohol consumption, 16 years or older|Heavy drinkers",%,,,,12.8,13.3,9.9,8.5,7.7,8.4,
Lifestyle|Overweight|Overweight persons,%,,,,35.0,44.3,48.2,51.0,51.1,50.8,
Lifestyle|Overweight|Moderately overweight,%,,,,28.8,34.6,36.8,36.0,36.8,36.2,
Lifestyle|Overweight|Seriously overweight (obese),%,,,,6.2,9.7,11.4,15.0,14.2,14.6,
Lifestyle|Use of contraceptive pill,%,,,,34.2,43.1,39.0,36.5,32.0,32.6,
Use of health care services|Contacts with health professionals|General practitioner (GP),%,,,,75.4,75.6,72.3,68.7,64.8,62.1,
Use of health care services|Contacts with health professionals|Medical specialist,%,,,,41.0,38.0,37.8,39.9,36.4,37.2,
Use of health care services|Contacts with health professionals|Dentist,%,,,,71.3,78.2,78.4,80.4,78.8,79.2,
Use of health care services|Contacts with health professionals|Physiotherapist or exercise therapist,%,,,,14.3,16.2,22.0,26.5,25.7,25.4,
Use of health care services|Contacts with health professionals|Alternative healer,%,,,,5.9,5.9,5.8,4.3,5.2,5.1,
Use of health care services|Hospital admissions by some diagnoses|All diagnoses,admissions per 10 000 of the population,,,,1016.9,922.8,1188.9,863.4,754.4,,
Use of health care services|Hospital admissions by some diagnoses|Certain infectious and parasitic dis.,admissions per 10 000 of the population,,,,10.2,11.4,16.7,18.9,13.4,,
Use of health care services|Hospital admissions by some diagnoses|Neoplasms|Total neoplasms,admissions per 10 000 of the population,,,,93.2,87.4,109.0,92.7,82.0,,
Use of health care services|Hospital admissions by some diagnoses|Neoplasms|Malignant neoplasms|Total malignant neoplasms,admissions per 10 000 of the population,,,,74.0,70.7,90.7,76.6,68.3,,
